,textID,text,selected_text,sentiment,oof_selected_text,jaccard_diff
11749,7a9470258e, im sadd sancha  june 18 for me is a fail  its gonna be you and chini ((((((,sadd,negative, sadd sancha june 18 for me is a fail,0.1111111111111111
11750,95457abcc3,FC is finally up again. it`s about time. i hate that this keeps happening,i hate that this keeps happening,negative, i hate,0.3333333333333333
11751,254254dfec,"thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today",thanks to the forever 21 curse,negative, i couldnt go tanning today,0.0
11755,2b0526e791,I`m being so whiny right now I`m annoying myself  i need to get some rest tonight after Movie Night kid-sitting,I`m annoying myself,negative, annoying,0.3333333333333333
11761,4177a4f15e,still no pool key. wth. it`s even hot out today.,it`s even hot,negative, still no pool key.,0.0
11770,63ef622fd7,"Now that Hugh Laurie has mentioned he follows  on twitter, thousands of idiots think this () is him. IDIOTS!",IDIOTS!,negative, idiots,0.0
11774,9855a6c0a2,**** being drunk and hot sucks,sucks,negative, **** being drunk and hot sucks,0.16666666666666666
11783,19c9b482b0,my sensors don`t seem to want to last for more than 3 1/2 days,sensors don`t seem,negative, don`t seem to want to last,0.3333333333333333
11784,0b04011bfb, can`t believe i wasn`t following you! am now  have an anatomy prac tmw so tonight i`m all about structr of the lwr limb,can`t believe i wasn`t following you!,negative, can`t believe,0.3333333333333333
11801,71f03d8cd3,is sick & tired of being sick & tired,tired,negative, is sick & tired of being sick & tired,0.16666666666666666
11803,6786f95a75,watching my ard earn money dissapear.,ard earn money dissapear.,negative, dissapear.,0.25
11804,663d7b9d62,"Getting used to getting up in the cold, but my asthma is paying for it.",asthma is paying for it.,negative, paying,0.2
11808,96ff964db0,"4 hours of sleep, a migraine, again? What is wrong with me?    hate my life",hat,negative, hate my life,0.0
11814,7540b1d817,I think I lost all of my blog posts,I think I lost all of my blog posts,negative, lost,0.125
11823,30f96cab0d,http://twitpic.com/67tcr - Ouch!! Burnt my arm on the grill,Ouch!! Burnt my arm,negative, burnt,0.25
11826,9fb230b118,Still stupidly sick...cancelled our Philly trip. Sad day,Still stupidly sick...cancelled our Philly trip. Sad day,negative, still stupidly sick...,0.2222222222222222
11839,369b8a1398,"I hate dreaming that your at some awesome party and you wake up at home, there was jager at the party too",I hate dreaming,negative, hate,0.3333333333333333
11840,eb7eb7b5d2,"y do i even bother getting a new fone..i just **** break them anyway,,,fones dont float,,especially when thrown in the pool",**** break th,negative, ****,0.3333333333333333
11841,828ec4d5a0,  lol.. zzzzy in office and I`m alone in my bay again.,nd I`m alone,negative, alone in my bay again.,0.14285714285714285
11843,04c563f43b,i was screaming like a maniac!  But the thing was u couldn`t scream on the ride which sucked the fun out of everything so...,which sucked the fun out of everything so...,negative, sucked,0.125
11849,f849534d5c, LMAO! I don`t fake being Paris anymore. Look at my bio ;) and by the way I can`t log onto your forum...,LMAO! I don`t fake being Paris anymore. Look at my bio ;) and by the way I can`t log onto your forum.,negative, i can`t log onto your forum...,0.22727272727272727
11853,0dfbcfbc58,  got my hair rebonded at some korean place. dude! my hair is f`in fried! cut 5' already ... now just chopping it off!!!,! my hair is f`in fried!,negative, fried!,0.16666666666666666
11854,5a2bb1a6f4, my plans might have just gone out the window too  bit gutted.,t gutted,negative, gutted.,0.0
11857,761a292745, Don`t be mad at me.  Please? ::puppy dog eyes::,Don`t be mad at me.  Please? ::puppy dog eyes::,negative, don`t be mad,0.3333333333333333
11860,28733ad979,Those houses were a bust. House 1 smelled like a bowling alley and was maaad gross and house 2 needed a new roof and basement,Those houses were a bust. House 1 smelled like a bowling alley and was maaad gross and house 2 needed a new roof and basement,negative, bust.,0.05
11862,f8b1806535, nope  het is LOST&found he ;-),s LOST,negative, lost&found,0.0
11865,73ee1f63b4,"Got stuck in a traffic jam today, i now have one sunburned arm",stuck,negative, sunburned arm,0.0
11871,f794210faa, wtf kinda best friend am I? I *still* haven`t met the hubby. That depresses me,wtf kinda best friend am I? I *still* haven`t met the hubby. That depresses me,negative, depresses me,0.13333333333333333
11875,c567514034,  hahaha well its try its so ugly,s so ugly,negative, ugly,0.3333333333333333
11882,fc409776c1,man iCant send love on Bebo. Cuz im on Skoo Comps. UGH! thiss sucks.,UGH! thiss sucks.,negative,man iCant send love on Bebo. Cuz im on Skoo Comps. UGH! thiss sucks.,0.23076923076923078
11883,c2e650a02f,"ugh gone through 2 new phones and now my screen is black, which means no texting",ugh,negative," ugh gone through 2 new phones and now my screen is black, which means no texting",0.0625
11886,a2fcd3e2ff, I have 3 computers all going now.  IE 7 on XP and IE 8 on Vista  all are still NO Shows!,re still NO Shows,negative, no shows!,0.2
11890,efc6ac1032,  you`re mean to me. You`re gonna have to have pizza tonight or it will go off.,e mean,negative, mean to me.,0.25
11897,898eb920ac,This porridge tastes ****! I cba with today man.,This porridge tastes ****!,negative, ****!,0.25
11904,a40c7a29a0,sooo im 20 n im just now findin out i have asthma,i have asthma,negative, sooo im 20 n im just now findin out i have asthma,0.2727272727272727
11906,41fd07f670, Miss you my dear,Miss you my dear,negative, miss,0.25
11910,77355a29b6,Complicated with a dream,Complicated with a dream,negative, complicated,0.25
11914,1a5e619b83,My voice hurts. No We We Rock You the musical singing tonight..,hurts.,negative, my voice hurts.,0.3333333333333333
11924,b4139f5891," why do u feel ****? Nerves? I tripped over that plastic telescope at 6:40 am yesty, I fell into the wall my head still hurts",hurts,negative," why do u feel ****? nerves? i tripped over that plastic telescope at 6:40 am yesty, i fell into the wall my head still hurts",0.041666666666666664
11925,cf637549f3, and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids,Radio is dead.,negative, dead.,0.3333333333333333
11931,e7314c1552, Well I can tell you I didn`t marry my like. Maybe that`s why I`m stuck in situations like I am now,Maybe that`s why I`m stuck in situations,negative, stuck,0.14285714285714285
11933,ed00626f89, I have no idea  I`m watching Rafa too. Running to the comp ever to often to check live score. he`s 3-2 down in the third.,have no idea,negative, i have no idea i`m watching rafa too. running to the comp ever to often to check live score. he`s 3-2 down in the third.,0.13636363636363635
11934,4bdcab31a5,i`m really tired today!!,i`m really tired today!!,negative, tired,0.25
11936,6bc20cdd81, im listening to people saying eww at out current frog disection  poor froggy.,eww,negative, poor,0.0
11938,0b31c01ce9,  I kinda want to smack that darn skeleton though.,a want to smack,negative, smack,0.25
11953,b65b28546f, I`m so sorry!  I saw it too and it shocked me to the core.,I`m so sorry!  I saw it too and it shocked me to the core.,negative, i`m so sorry!,0.23076923076923078
11973,eabb71a3dc, hurts to be you! Sunshine all weekend and you don`t get to play. That`s sad.,. That`s sad.,negative, hurts to be you! sunshine all weekend and you don`t get to play. that`s sad.,0.13333333333333333
11974,44e6ea482a,I made it six days in a row w/out an accident in the house and then pops took me to a strange place and didn`t give me time after b-fast,accident,negative,I made it six days in a row w/out an accident in the house and then pops took me to a strange place and didn`t give me time after b-fast,0.038461538461538464
11987,42df3695a8,"Ppl who smoke pot, are so f . . .n stupid. An instant turn off. drugs in general. why? seriously! ! ! why?","Ppl who smoke pot, are so f . . .n stupid. An instant turn off.",negative, stupid.,0.07142857142857142
11988,76390ef87f, i miss your dance friends too.,i miss your dance friends too.,negative, i miss,0.3333333333333333
11995,6c86c96dbe,I`m missing one of my diamond earrings. This makes me sad.,I`m missing one of my diamond earrings. This makes me sad.,negative, sad.,0.09090909090909091
12007,b44a0e4a37, sorry didn`t get to see you,sorry didn`t get to see you,negative, sorry,0.16666666666666666
12011,f3d710af24," I need a hug because our pitching has been lackluster, our shortstops can`t field & Big Papi can`t get above the Mendoza line.","our pitching has been lackluster,",negative," lackluster,",0.2
12016,bdaa1f8325,I really despair over the whole copyright situation http://bit.ly/yLY0I ~ being visually impaired means you don`t deserve to read  #sccr18,don`t deserve to read,negative, despair,0.0
12025,9d47870bab,"Got pulled over by a cop, got a warning",warning,negative, got a warning,0.3333333333333333
12027,b9c7cea4dc,I am doing Geography Revision on Earthquakes!  How Boring!!,Boring!,negative, how boring!!,0.0
12041,c740727ac4,****. My arms feel like really sore jell-o,****.,negative, ****. my arms feel like really sore,0.14285714285714285
12044,6ba366b057,What I`m gonna do  life is not good:`( no more Exit in this hallway I`m stuck in my world...,do  life is not good:`( no more Exit in this hallway I`m stuck in my world...,negative, not good:,0.0625
12070,03283f7566, miss chatting with you,miss chatting with you,negative, miss,0.25
12083,8c83dbd5f2,dangit. LSU w/ a 7-spot in B7 now leads Southern 8-2.  Was intentionally not mentioning anything and it got jinxed anyhow.,Was intentionally not mentioning,negative, jinxed,0.0
12106,7a60d63a34,Why does flickr no longer recognize my e-mail addresses.  I can`t log in.,Why does flickr no longer recognize my e-mail addresses.,negative, i can`t log in.,0.0
12117,746cc07a68,"Shipwrecked all weekend  license wasn`t suspended, it got cancelled. Can`t take the risk driving and no one lives near me","Shipwrecked all weekend  license wasn`t suspended, it got cancelled. Can`t take the risk driving and no one lives near me",negative, shipwrecked,0.05
12138,ce0025d376," ack, no can see  either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)",nd weir,negative," weird,",0.0
12140,59e6f3eeff,I hate today.,hate,negative, i hate today.,0.3333333333333333
12143,41af60f029," ahahaha, that happens to me all the time.  poor Angela!","ahahaha, that happens to me all the time.  poor Angela!",negative, poor angela!,0.2
12146,e4dd50f35f,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  ****!",****!,negative, blames,0.0
12155,c9ba6af3a4,"There go my big plans... thanks, tonsils.","There go my big plans... thanks, tonsils.",negative," thanks, tonsils.",0.2857142857142857
12170,9367626fec,cry baby. janes joplin what is this? munsay music. but i dont know wich **** day i  am today,****,negative, cry baby.,0.0
12184,9e79ecea42," Awww, that sucks. Maybe it`s on Youtube somewhere?",sucks.,negative," awww, that sucks.",0.3333333333333333
12189,0cc16f71b1,There are bugs attacking my laptop,There are bugs attacking my laptop,negative, bugs,0.16666666666666666
12192,82b79c93b2,Men it`s far too sunny,sunny,negative, men it`s far too sunny,0.2
12194,9abcf3cb2c, aww me sry  that was me yesterday ....,sry,negative, aww me sry,0.3333333333333333
12204,8f041fea93,@_C_A_S_ IM MAD IT WASNT SCAREY,IM MAD IT WASNT SCAREY,negative, mad,0.2
12219,58d00d3ae5,I think I juz missed my last bus  .. Need to walk home sia - http://tweet.sg,I think I juz missed my last bus,negative, missed,0.14285714285714285
12229,c5ab886df0, daaammmnnnnn I do wish I was there.,daaammmnnnnn I do wish I was there.,negative, daaammmnnnnn,0.16666666666666666
12241,fbc55b9c11, Have you noticed that we`re at the beginning of what may be the worst recession since the 1930`s ?,at the beginning of what may be the worst recession,negative, worst recession,0.2222222222222222
12256,e283379cad,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,hates the net.,negative, hates,0.3333333333333333
12264,e2d82b16c7, They`re for my mama  I always bake late and get worried that the mixer is gonna bother people.,They`re for my mama  I always bake late and get worried that the mixer is gonna bother people.,negative, worried,0.05555555555555555
12266,3ebd0a6f97," WOMAN, I didn`t know you came home  you so suck!!! When are you going back!","WOMAN, I didn`t know you came home  you so suck!!! When are you going back!",negative, you so suck!!!,0.23076923076923078
12270,6e5b984f46," hey chicLit whats happening? Just trying to promote my business, it`s really hard!",it`s really hard!,negative, hard!,0.3333333333333333
12272,0a2c769873,Greg Pritchard was robbed  ii am too gutted for words,robbed,negative, gutted,0.0
12274,57eeab2353, ask mark if he still has that old blink sense of humor!! i miss it,miss,negative, i miss it,0.3333333333333333
12281,b56024023c," most definately! They are having a hard time, cuz I`m so young & never saw this, but I wrkd hard making cars & now I`m disabled","They are having a hard time,",negative," hard time, cuz i`m so young & never saw this, but i wrkd hard making cars & now i`m disabled",0.09523809523809523
12283,47fc719676, I dunno...I thought I was funny,.I thought I was funny,negative, i dunno...,0.16666666666666666
12295,6fea8f470b,Oh..I`m so borin`.. why not play the computer?? My mom`s say: because your makin` task..!!,borin`.,negative, borin`..,0.0
12308,4f65e49c6e,My throat hurts so bad that i dont even want to swallow my own spit.       And i officially cant talk now....,hurts,negative, bad,0.0
12309,8e7f30583a,Yao is out for the rest of the season! NOOO!..staying home on a Saturday night...SHOCK....got my phone fixed,Yao is out for the rest of the season! NOOO!..staying home on a Saturday night...SHOCK....got my phone fixed,negative,shock....,0.0
12319,40e99732e1,"oh, it`s raining... i haaaate it!  It was a great violin lesson<3",haaaate,negative, i haaaate it!,0.3333333333333333
12322,bbbe6803f7,so bored...,so bored..,negative, bored...,0.0
12325,a336472bb3,Waiting for friends to call or email me bleh i feel unloved,i feel unloved,negative, unloved,0.3333333333333333
12328,448813cc8f,being at work while sick blows! kill me. i feel like ****,i feel like ****,negative, sick,0.0
12336,378cd690c7,"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",#DuckRaces in the bath don`t quite work  Especially if you have no ducks!,negative, don`t quite work,0.23076923076923078
12338,917ebb327b,wonders why am I so clumsy lately?  http://plurk.com/p/x28ka,so clumsy lately?,negative, clumsy,0.3333333333333333
12341,98949b1fd7,yeah its Friday! I thought my sis was coming into town turns out she is not!!  so sad! i miss my babies!!!,so sad! i miss my babies!!!,negative, so sad!,0.3333333333333333
12344,a9610660fb,Monday and I am at work and the legs are a still hurting a little! Smile,legs are a still hurting a little!,negative, hurting,0.16666666666666666
12346,6eef9402ec,and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,my body decided it wanted to be sick,negative, sick,0.125
12360,295b313e7e, when it rains it pours - how true is that? I`m so sorry  I hate those kinda times.,? I`m so sorry  I hate those kinda times.,negative, i`m so sorry,0.3333333333333333
12367,b79ebb8e91,everybody is sick,everybody is sick,negative, sick,0.3333333333333333
12372,3792c7b13e,      You`ll be missed!!  Bring me back  a keychain!,You`ll be miss,negative, missed!!,0.0
12386,d106e7a5f5,So annoyed I missed Mitch Benn @ Lemon Tree. **** you What`s On!,So annoyed I missed Mitch Benn,negative, annoyed,0.16666666666666666
12389,abe4a36ce0,":O Job interview today, i`m really gonna mess this uuuup",", i`m really gonna mess this uuuup",negative, mess,0.14285714285714285
12390,3ef15664b9, AHHH! still not following!! Do you think she forgot??,AHHH!,negative, forgot??,0.0
12395,6548ec2f3b,Struggling...selfishness and jealousy doesn`t get you any further in life... ohh myyy,selfishness,negative, struggling...,0.0
12429,728e9b67c8," me too  she better be back soon! dude, this is my typical bedtime. but look who is talking! what are YOU doing up so late?",y typical,negative, what are you doing up so late?,0.0
12443,428d32dc76,walk was grand peeps lol feet are really hurting now thought  ****,feet are really hurting now thought  ****,negative, hurting,0.14285714285714285
12452,1f80ba76e2, haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot,haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot,negative, idiot,0.045454545454545456
12459,047a34a527,Stupid red hair is too difficult on the upkeep. Re-dyed it a more manageable brown-red. Boo,too difficult on the upkeep.,negative, stupid red hair is too difficult,0.2222222222222222
12470,7eb2296995,ughhh my leg is still cramping from my panic attack outside ULU this morning   bloody hurts!!,cramping,negative, bloody hurts!!,0.0
12479,c69e9c64d2,there is poor lost duck outside of Olive Garden. that makes me sad,sad,negative, that makes me sad,0.25
12489,722fb5bb55,omg i realy can`t sleep ughh,realy can`t sleep,negative, ughh,0.0
12492,f26e00d396, thats too bad,bad,negative, thats too bad,0.3333333333333333
12502,066a730dbc,my body is aching. I can barely move...but its worth it to be champs,barely,negative, my body is aching.,0.0
12507,80e9ce3e2d," are you giving up on me  oh well. It`s not the counting, it`s the math and the weighting (or lack of) that doesn`t make sense.",t doesn`t make sense.,negative," are you giving up on me  oh well. It`s not the counting, it`s the math and the weighting (or lack of) that doesn`t make sense.",0.13043478260869565
12508,35987ef851,Got a deadline to meet!!! No TGIF for me,Got a deadline to meet!!!,negative, no tgif for me,0.0
12512,f4f2d57a7f,Margaritas with my Momo. I`ve missed her.,missed,negative, i`ve missed her.,0.3333333333333333
12513,f49443a4a0,so I`m kinda pissed that Boys Like Girls is gonna be at Kentucky Kingdom on a date i already have a show,I`m kinda pissed,negative, pissed,0.3333333333333333
12519,c8a6bb2681, it`s kind of hard to see a pic of a doggie if the pic doesn`t exist,it`s kind of hard,negative, hard,0.25
12529,c962696af2, You burned yourself too??? So did ! ohh no...  xoxo,You burned yourself too??? So did ! ohh no...  xoxo,negative, burned,0.1
12537,4bf221814c, Snap. I`m the same with any reality show. Watch the first and I`m hooked   Very sad,Very sa,negative, sad,0.0
12539,5dfae5c7cc,man i **** up that test  playing cod now . 31 days till the summer !,man i **** up,negative, ****,0.25
12540,e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,is missing someone..,negative, missing,0.3333333333333333
12563,24ad5b316e,sleeping... would`ve been home sooner but we accidentally killed bambi on the way home,killed ba,negative, accidentally killed,0.3333333333333333
12585,1888c0c734,... Still feelin like blah... 3 more hours,feelin like blah..,negative, blah...,0.0
12590,5f5ef8ac14,Not  looking forward to next   wednesday at all,Not  looking forward,negative, not looking forward to next wednesday at all,0.375
12599,cc63a1f753,"Dad asked my why I was sticking my tongue out while I was ironing, and I told him it was so I didn`t burn my finger, as I burnt my finger",burnt,negative," sticking my tongue out while i was ironing, and i told him it was so i didn`t burn my finger, as i burnt my finger",0.05263157894736842
12601,8019ffeb57,Here at work still feeling the pain for my friend wish I had a magic wand to erase all the madness,Here at work still feeling the pain for my friend wish I had a magic wand to erase all the madness,negative, pain,0.05
12607,2f93e3a903,Didn`t sleep good last night. Woke up with another bellyache  what`s wrong with meeeeeee.,Didn`t sleep good last night.,negative, didn`t sleep good last night. woke up with another bellyache what`s wrong with meeeeeee.,0.38461538461538464
12610,0fe63f7521,missed my friggin hair appt!!!,missed my friggin hair,negative, missed,0.25
12625,4523e9508c,nomatter how much i sleep am still tired,am still tired,negative, tired,0.3333333333333333
12628,acb83ea44e,My back is killing me. Stupid softball,killing me.,negative, my back is killing,0.2
12629,5d8369af1d, i couldn`t **** sleep today either. it was hard for me to stay asleep for some reason,hard,negative, ****,0.0
12630,e85202c654, Oh  I`m sorry  I can`t even imagine...although I know it will be reality for me soon,m sorry,negative, oh i`m sorry,0.25
12636,aeda353591,I raced her once. I totally lost  RIP  http://tinyurl.com/lhgca8,I totally lost  RIP,negative, lost,0.25
12647,3b7a3199db," I made room...I don`t have a bed from how much room I made and now I`m outta space for sure lol, and I know I`m pathetic",outta space,negative, pathetic,0.0
12658,c20cc57df7,  You`re just jealous!  Guess you`ll be walking around the office tomorrow in your Malo!,You`re just jealous,negative, jealous!,0.0
12659,da88b3fd82,got FOXY_ a new brew buddy now my kitchen is gonna smell,my kitchen is gonna smell,negative, smell,0.2
12669,aff6923046,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,aarrgghh - fu*k.....a hose ha,negative, aarrgghh - fu*k.....,0.3333333333333333
12673,201fd998ac,omg maddie in holby is dead. Gutted. loved Nadine lewington and really wanted Maddie and Clifford to get together,dead.,negative, gutted.,0.0
12675,7a053b3829,  Wow that is a scary statistic,Wow that is a scary statistic,negative, scary,0.16666666666666666
12679,34bc4c5ff9,My head hurts so bad I could scream!,bad,negative, hurts so bad,0.3333333333333333
12683,a90fa52db1,"Feel quite down, not quite sure why though :s so going to bed  night everyone x",though,negative," feel quite down,",0.0
12684,744f6aba10,"Well I did run over a cat today (I know how sad) I cried and screamed my lungs out!!! I felt HORRIBLE, poor thing","I felt HORRIBLE, poor thing",negative," horrible,",0.2
12687,e60f1b5116,"Aww   i used to do that when i was little, not so much now ;) haa. Lazy shiit.",. Lazy shiit.,negative, lazy,0.3333333333333333
12690,897dc0377b,I have a stomach ache... Totally sucks,stomach ache... Totally sucks,negative, sucks,0.25
12699,8fdb1a0357,just seen 1 of the fat single Mums from up the road 'seductively' sprawled across some poor blokes bonnet. He probably needs new shockers,sprawled,negative, he probably needs new shockers,0.0
12711,7716d2b1e5,virus hunting on computer - always wondering what it will destroy,virus hunting on computer - always wondering what it will destroy,negative, destroy,0.09090909090909091
12732,633e9e07ff, i did and i feel great....   but i still miss it...,ll mis,negative, miss it...,0.0
12735,745a788ae8, this is a travesty,this is a travesty,negative, travesty,0.25
12736,6bb8a82c31,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catcher,omg i just slept like 18hrs in the last 22hrs...  i think i`m dying or something   reminds me of catche,negative, dying,0.05263157894736842
12738,98c3ac867c,"OMG. Missed bus, walking miles, for a coffee  Went to see my ex-classmates","Missed bus, walking miles,",negative, missed,0.25
12742,f931fbac26,funeral at 2.  today is going to be bad.,funeral at 2.  today is going to be bad.,negative, bad.,0.1111111111111111
12749,653f297663,"Just been bitten by SmoothStreaming, it doesn`t seem to work for my client`s linux users...fan-fricking-tastic",doesn`t seem to work,negative, bitten,0.0
12752,fe307a719c, nah is next week honey ma fault for confusin u,nah is next week honey ma fault for confusin u,negative, fault,0.1
12754,80931c4683,Woke up early! Still sick,Woke up early! Still sick,negative, sick,0.2
12767,d5a7e2d15e,  i think my niece got me sickee  lame.,e sickee,negative, lame.,0.0
12769,6c3221ae9b,so instead of laying out in this 90 degrees i`ve gotta give 32 fourth graders miso/rice/sushi/mochi in an hour  fml,fml,negative, so instead of laying out in this 90 degrees i`ve gotta give 32 fourth graders miso/rice/sushi/mochi in an hour fml,0.05263157894736842
12791,6656671867,Did you guys figure out Saturday? I really wanted to go but my mom is sick so I have to take her to the hospital in Tampa,my mom is sick so,negative, sick,0.2
12792,3991cca5f7, yeah I need a hug...cuz I am sick..,I am sick..,negative, sick..,0.3333333333333333
12800,b2068d79d5,"Want to get my hands dirty with FubuMVC. http://bit.ly/J00ha, but the document is not yet complete",dirty,negative," dirty with fubumvc. http://bit.ly/j00ha, but the document is not yet complete",0.09090909090909091
12804,c344f48de3,"() OMG SHUT UP!!! (sorry. still venting at that person who`s annoying me. It`s none of you, I swear  )",sorry.,negative, annoying,0.0
12813,022157e66f,_Fangirl Won`t let me watch since i`m in the states.  Boo.,Won`t let me watch,negative,_Fangirl Won`t let me watch since i`m in the states.  Boo.,0.36363636363636365
12818,072a9744fd, i`m using paint.net x64 and it`s running crazily fast - can`t afford CS4 unfortunately... yet,unfortunately.,negative, unfortunately... yet,0.0
12826,74dc715845, lol seriously.  fail. ::sigh::,lol seriously.  fail. ::sigh::,negative, fail.,0.25
12856,a2aca1fb38,I tired today I think I am gonna take a nap before our friends come over tonight....I miss him and wish he was off restriction already...,I miss him,negative, tired,0.0
12858,ec543e2e3e,"so im drawing pictures to show how much i miss him. can anyone blame me, hes 4 hours away frm me",im drawing pictures to show how much i miss him.,negative, miss,0.1
12883,fe31e2ee51,ya could hit me up on aim or here cause i am mad bored nuttin 2 do,i am mad bored,negative, bored,0.25
12890,32b4a2e2ae,"going crazy, the pain is unbearable..& i gotta wait till thursday!?","going crazy, the pain is unbearable..& i gotta wait till thursday!?",negative, pain is unbearable..,0.16666666666666666
12907,6705942f3d, why do you hate me!?,why do you hate me!?,negative, hate,0.2
12921,bdef20bbcd,Open office 'writer' is weird. I need Word to open word documents correctly,Open office 'writer' is weird.,negative, weird.,0.2
12930,419017abe3,the low point: a poor pigeon outside my building isn`t capable of flying. It`s just wandering up and down the sidewalk. so sad,a poor pigeon,negative, so sad,0.0
12932,7ca6bfaf9b,"Wishing laying on my side wasn`t the only comfortable position, I am tired of laying",tired,negative, tired of laying,0.3333333333333333
12939,07c231cf30,Refusing to accept that the US holiday is over. Heading to Woodies Longboard  Diner in um ... Hove...,Refusing,negative, refusing to accept that the us holiday is over.,0.1111111111111111
12941,7b1ecda317, Adam Samberg + new moon trailor = good evening. Too bad my cable is off as of friday,Too bad my cable is off as of friday,negative, too bad,0.2222222222222222
12946,d60b07133a, if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,realise what tourture,negative, late,0.0
12986,24b6dfdc81,dang i miss you  goodnight,miss,negative, dang i miss,0.3333333333333333
12992,afe06bd420,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place",trekked out to the wrong place,negative, wrong place,0.3333333333333333
12997,a3a881391a,"slept in, missed bus, train delayed, doesn`t stop at my stop, late for work. **** heelllll",missed,negative," missed bus, train delayed, doesn`t stop at my stop, late for work. **** heelllll",0.07142857142857142
13007,a194c3ba39,I`m a fat and sad puffyn now,fat and sad,negative, sad,0.3333333333333333
13014,e609756d4c,last night sucked... too many bad dreams about spiders and rogue octupi,bad,negative, last night sucked...,0.0
13016,ff68d28c4d, That would have been fun BUT we were soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed.,soooo TIRED yesterday.  Long day at the office. Just did dinner and crashed.,negative, tired,0.07692307692307693
13023,2d710a2cca,"It seems my grandmother has found a way to break a pipe in her house, going to go there now and fix it, she is such a blur woman",break,negative, blur woman,0.0
13025,68c94de08a, boo. i got rained out at the beach.,i got rained out at the beach.,negative, boo.,0.0
13033,0720c6dc0e,So I thought the Cavs would crush the Magic and I come home from up north to realize how wrong I was.,wrong I,negative, crush,0.0
13043,5802b869df,i have three hours to do my hair. and it STILL won`t be straight,i have three hours to do my hair. and it STILL won`t be straight,negative, it still won`t be straight,0.35714285714285715
13052,0344ef685a,he just fully yelled  saying dnt be so fcking stupid grow up! stop with this band **** then... throws the remote at me thnks love u2,fcking,negative, stupid,0.0
13062,124848e01c,"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",panic,negative, jolted out of bed by a massive panic attack,0.1111111111111111
13063,d990d404e7,WOW i just drank a drink of water - 12 ice cubes that took ages to melt. i now have brian freeze,i now have brian freeze,negative, wow i just drank a drink of water - 12 ice cubes that took ages to melt.,0.047619047619047616
13064,272ec1154a,"ya know why today sucks? its been raining, we have no $, & no possibility of a magic friday.  so whats goin down tonight?",ya know why today sucks?,negative, sucks?,0.2
13066,c949e571d6,Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,Really? 87 degrees as the high and I`m on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,negative, bomb,0.045454545454545456
13069,e47fb0bfe5,Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,ruined th,negative, stupid freshmen ruined,0.25
13074,bb2ef8a121," pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards","pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the board",negative," sorry,",0.05263157894736842
13076,d2ad2322d7,still feeling BLAH. gave a biiiiig dose of insulin that i needed about 24 hours ago. Now I`m off to take my last exam of my junior year.,still feeling BLAH.,negative, still feeling blah. gave a biiiiig dose of insulin that i needed about 24 hours ago.,0.1875
13084,98c9ef21a5,"i had a dream last night, and i was singing  first avid dream of myself crooning away!",crooning,negative," i had a dream last night, and i was singing first avid dream of myself crooning away!",0.06666666666666667
13101,ab2be62677, my riding time has been dismal too during these rainy weeks.  haven`t been able to make myself to go to the gym instead.,haven`t been able to,negative, dismal,0.0
13109,4841c80d3c,About to go to my last theater lunch  im gonna cry.,About to go to my last theater lunch  im gonna cry.,negative, cry.,0.1
13116,d3889fedf4, not really sure. need to deposit and save some money,not really sure.,negative, not really sure. need to deposit and save some money,0.3
13130,36c99e25a4, i changed my mind dammit!! a Tsar can change his mind at any time without no prior notice,dammit!,negative, i changed my mind dammit!!,0.0
13145,1850ef0ecf,is sick and it doesn`t seem like i`m getting better,is sick and it doesn`t seem like i`m getting better,negative, is sick,0.2
13148,cf167e5f67,My head hurts beyond much.,My head hurts beyond much.,negative, hurts,0.2
13155,3f3f46a958, nah ;) when a single person posts about 200 tweets a day is hard to cope with on my android phone when I`m unable to filter,a day is hard to cope with on my android phone when I`m unable to filter,negative, hard,0.06666666666666667
13171,1948c92d6c,i miss rich,miss,negative, i miss rich,0.3333333333333333
